,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Traffic Light State Machine,,,Timer Expired,Sensor / Button Pressed,Emergency Override,,
,,,,,,,,,,
,,,Cars,,,_,_,_,,
,,,,Green Light,,Yellow Light,(No Change),Red Light (Immediate),,
,,,,Yellow Light,,Red Light,(No Change),Red Light (Immediate),,
,,,,Red Light,,Green Light,(No Change),(No Change),,
,,,Pedestrians,,,_,_,_,,
,,,,Don't Walk,,(No Change),Walk,(No Change),,
,,,,Walk,,Blinking Don't Walk,(No Change),(No Change),,
,,,,Blinking Don't Walk,,Don't Walk,(No Change),(No Change),,
,,,,,,,,,,
,,,,,,,,,,